,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
2321,tna,Turkana,Nilotic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2325,tne,Temne,Mel,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2326,tng,Tongan,Oceanic,Austronesian,Papunesia,7 No dominant order,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2331,tnn,Tunen,Bantoid,Niger-Congo,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2332,tno,Tondano,Minahasan,Austronesian,Papunesia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2337,tob,Toba,South Guaicuruan,Guaicuruan,South America,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2343,ton,Tonkawa,Tonkawa,Tonkawa,North America,7 No dominant order,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2351,toz,Tonga (in Zambia),Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2355,tpn,Tepehuan (Northern),Tepiman,Uto-Aztecan,North America,3 VSO,2 VS,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
2356,tpr,Tupuri,Adamawa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2359,trb,Teribe,Talamanca,Chibchan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2363,tri,Trique (Copala),Mixtecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
