,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
928,iqu,Iquito,Zaparoan,Zaparoan,South America,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
930,iri,Irish,Celtic,Indo-European,Eurasia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
932,irq,Iraqw,Southern Cushitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
933,irr,Irarutu,South Halmahera - West New Guinea,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
935,irx,Iranxe,Iranxe,Iranxe,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
936,isa,I'saka,Krisa,Skou,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
944,ita,Italian,Romance,Indo-European,Eurasia,2 SVO,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
946,ite,Itelmen,Southern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,1 SOV,1 SV,1 OV,3 No dominant order,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
960,izi,Izi,Igboid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,3 No dominant order,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
961,jab,Jabêm,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
964,jak,Jakaltek,Mayan,Mayan,North America,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
967,jar,Jarawa (in Nigeria),Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
971,jeb,Jebero,Cahuapanan,Cahuapanan,South America,7 No dominant order,3 No dominant order,3 No dominant order,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
978,jiv,Jivaro,Jivaroan,Jivaroan,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
981,jmo,Jur Mödö,Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
982,jms,Jamsay,Dogon,Dogon,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
983,jng,Jingpho,Jingpho,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
984,joh,Johari,Bodic,Sino-Tibetan,,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
986,jpn,Japanese,Japanese,Japanese,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
992,juh,Ju|'hoan,Ju-Kung,Kxa,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
993,juk,Jukun,Platoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
999,kaa,Karó (Arára),Ramarama,Tupian,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1001,kac,Kachari,Bodo-Garo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
1003,kae,Kaki Ae,Tate,Eleman,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1010,kan,Kana,Cross River,Niger-Congo,Africa,2 SVO,1 SV,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1014,kar,Kara (in Central African Republic),Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1015,kas,Kashmiri,Indic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1017,kau,Kaulong,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1019,kay,Kayardild,Tangkic,Tangkic,Australia,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1021,kba,Kamba,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1023,kbl,Kabyle,Berber,Afro-Asiatic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1024,kbo,Kambot,Botin,Lower Sepik-Ramu,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1028,kbw,Karen (Bwe),Karen,Sino-Tibetan,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
1029,kby,Kabiyé,Gur,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1030,kch,Koyra Chiini,Songhay,Songhay,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1034,kdz,Kadazan,North Borneo,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1040,kel,Kele,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1041,kem,Kemant,Central Cushitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1044,ker,Kera,East Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1045,ket,Ket,Yeniseian,Yeniseian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1047,kew,Kewa,Engan,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
1049,kfe,Koromfe,Gur,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1051,kga,Kinga,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1060,kha,Khalkha,Mongolic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1061,khd,Kham (Dege),Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1062,khg,Khaling,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
1065,khl,Khalaj,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1066,khm,Khmer,Khmer,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1068,kho,Khoekhoe,Khoe-Kwadi,Khoe-Kwadi,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
1070,khs,Khasi,Khasian,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1075,kie,Kire,Mikarew,Lower Sepik-Ramu,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1077,kik,Kikuyu,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1080,kin,Kinyarwanda,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1083,kir,Kirma,Gur,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1084,kis,Kisi,Mel,Niger-Congo,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,1 NegTone
1087,kiw,Kiwai,Kiwaian,Kiwaian,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
1097,kkp,Karakalpak,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1100,kkt,Kokota,Oceanic,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1102,kkv,Lusi,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1106,kla,Klao,Kru,Niger-Congo,Africa,2 SVO,1 SV,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1112,kll,Kaluli,Bosavi,Bosavi,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],11 Type 3 / Type 4,4 None
1113,klm,Klamath,Klamath-Modoc,Penutian,North America,7 No dominant order,3 No dominant order,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1120,klv,Kilivila,Oceanic,Austronesian,Papunesia,7 No dominant order,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1121,klw,Kiliwa,Yuman,Hokan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1124,kma,Kamaiurá,Tupi-Guaraní,Tupian,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
1125,kmb,Kombai,Awju-Dumut,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
1126,kmh,Kham,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
1128,kmj,Karimojong,Nilotic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,3 NegV&[Neg-V],7 Type 1 / Type 3,4 None
1130,kmn,Kuman,Chimbu,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1131,kmo,Koiali (Mountain),Koiarian,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1132,kmp,Kunimaipa,Goilalan,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1134,kms,Kamass,Samoyedic,Uralic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1136,kmu,Khmu',Palaung-Khmuic,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1137,kmw,Kamu,Eastern Daly,Eastern Daly,Australia,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1138,kmz,Kamasau,Marienberg,Torricelli,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1142,knd,Kannada,Southern Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1143,kng,Kaingang,Ge-Kaingang,Macro-Ge,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1145,knk,Kanakuru,West Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,3 No dominant order,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1146,knm,Kunama,Kunama,Kunama,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1147,knn,Kinnauri,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1151,knr,Kanuri,Western Saharan,Saharan,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1154,knz,Kham (Tibetan) (Nangchen),Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1155,koa,Koasati,Muskogean,Muskogean,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1156,kob,Kobon,Madang,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1158,koe,Koegu,Surmic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
1161,kok,Kokborok,Bodo-Garo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1162,kol,Kolami,Central Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,3 VNeg&[V-Neg],4 None,10 Type 2 / Type 4,4 None
1163,kom,Komo,Koman,Koman,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1164,kon,Kongo,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,3 VNeg&[V-Neg],3 NegV&[Neg-V],16 OptTripleNeg&ObligDoubleNeg,4 None
1167,kor,Korean,Korean,Korean,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1168,kos,Kosraean,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1172,koy,Koya,South-Central Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1178,kpw,Karen (Pwo),Karen,Sino-Tibetan,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1181,krb,Kiribati,Oceanic,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1182,krc,Karachay-Balkar,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,3 VNeg&[V-Neg],4 None,10 Type 2 / Type 4,4 None
1183,krd,Kurdish (Central),Iranian,Indo-European,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1184,kre,Kresh,Kresh,Central Sudanic,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1187,krh,Krahô,Ge-Kaingang,Macro-Ge,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1188,kri,Kipea,Kariri,Kariri,South America,4 VOS,2 VS,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1190,krk,Karok,Karok,Karok,North America,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
1193,krn,Korana,Khoe-Kwadi,Khoe-Kwadi,Africa,7 No dominant order,3 No dominant order,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
1194,kro,Krongo,Kadugli,Kadu,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1196,krr,Kairiru,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1198,krw,Korowai,Awju-Dumut,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1199,kry,Koryak,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1202,kse,Koyraboro Senni,Songhay,Songhay,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1203,ksg,Karen (Sgaw),Karen,Sino-Tibetan,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1208,ksn,Kasong,Pearic,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1213,kta,Koita,Koiarian,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1215,ktc,Katcha,Kadugli,Kadu,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1220,ktl,Katla,Katla-Tima,Kordofanian,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1226,kty,Khanty,Ugric,Uralic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1233,kum,Kumauni,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1235,kuo,Kuot,Kuot,Kuot,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1239,kut,Kutenai,Kutenai,Kutenai,North America,7 No dominant order,2 VS,2 VO,4 Only internally-headed relative clauses,4 None,1 NegV,1 NegV,4 None
1241,kuv,Kuvi,South-Central Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1244,kwa,Kwaio,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1249,kwn,Kwangali,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1250,kwo,Kwoma,Middle Sepik,Sepik,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
1252,kws,Kawaiisu,Numic,Uto-Aztecan,North America,7 No dominant order,3 No dominant order,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1253,kwt,Kwomtari,Kwomtari,Kwomtari-Baibai,Papunesia,1 SOV,1 SV,1 OV,3 No dominant order,3 VNeg&[V-Neg],1 NegV,17 OptTripleNeg&OptDoubleNeg,4 None
1254,kwy,Iwoyo,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
1255,kwz,Kwaza,Kwaza,Kwaza,South America,7 No dominant order,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1256,kxo,Kxoe,Khoe-Kwadi,Khoe-Kwadi,Africa,6 OSV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
1257,kya,Kuku-Yalanji,Northern Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1260,kyl,Kayah Li (Eastern),Karen,Sino-Tibetan,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1266,kyr,Karkar-Yuri,Karkar-Yuri,Karkar-Yuri,Papunesia,1 SOV,1 SV,1 OV,3 No dominant order,3 VNeg&[V-Neg],4 None,10 Type 2 / Type 4,4 None
1268,kyz,Kayabí,Tupi-Guaraní,Tupian,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
1270,kzy,Komi-Zyrian,Permic,Uralic,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1271,laa,Laal,Laal,Laal,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1272,lab,Labu,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1273,lac,Lacandón,Mayan,Mayan,North America,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1274,lad,Ladakhi,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],11 Type 3 / Type 4,4 None
1276,lag,Lagwan,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1277,lah,Lahu,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1278,lai,Lai,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,3 No dominant order,1 VNeg,4 None,2 VNeg,4 None
1280,lal,Lalo,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1282,lan,Lango,Nilotic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1283,lao,Lao,Kam-Tai,Tai-Kadai,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1285,lat,Latvian,Baltic,Indo-European,Eurasia,2 SVO,3 No dominant order,2 VO,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
1287,lav,Lavukaleve,Lavukaleve,Solomons East Papuan,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,3 VNeg&[V-Neg],4 None,10 Type 2 / Type 4,4 None
1289,lbu,Lunda,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
1294,ldo,Londo,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1295,ldu,Lendu,Lendu,Central Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
1296,leb,Lebeo,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1299,lel,Lele,East Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1300,len,Lenakel,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
1301,lep,Lepcha,Lepcha,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1302,les,Lese,Mangbutu-Efe,Central Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1303,let,Leti,Central Malayo-Polynesian,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1304,lew,Lewo,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,15 OptDoubleNeg,4 None
1305,lez,Lezgian,Lezgic,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1309,lgi,Langi,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1311,lgt,Logoti,Moru-Ma'di,Central Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1312,lgu,Longgu,Oceanic,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1315,lic,Hlai (Baoding),Hlai,Tai-Kadai,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1319,lin,Lingala,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1320,lis,Lisu,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1321,lit,Lithuanian,Baltic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
1325,lkt,Lakhota,Core Siouan,Siouan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1327,llm,Lelemi,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1330,lmg,Lamang,Biu-Mandara,Afro-Asiatic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,1 VNeg,4 None,15 OptDoubleNeg,4 None
1331,lmh,Lamaholot,Central Malayo-Polynesian,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1333,lmn,Lamani,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
1334,lmp,Lampung,Lampungic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
